tweet,is_sarcastic
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
